,From,To,Value,Gas_price
0,0xbe71f0ae32aa96f46a7904cc021c1079a1895b64,0x5939072db87425c37800259e7ddf718972309bfe,578.2315439048156,4.86130483571642e-05
0,0xb31caff500d33629e24d6493faf5b3571329fe3d,0x45804880de22913dafe09f4980848ece6ecbaf78,0.0,4.6233459999999994e-05
0,0xd185ceed9f87e5cc54c16e9b3f4947a1c6daad93,0x292eb49dc6346e5524bd1ecfda84c8b3a9b97bec,677.2905684974211,4.5461642944890894e-05
0,0x4ad45256880c86021aafeac5397acee5f43d6116,0x248663e15aca1861165597480cb451ed14b6d558,455.6318369891742,4.5426880944890896e-05
0,0xc88f7666330b4b511358b7742dc2a3234710e7b1,0x7d475c9b065ac09431517aff4d1f44ec9c7fcdec,9.948641065999999,4.51906e-05
0,0x2ff725dd2562ea1b1a0aaa21b81fea6260e97493,0x000000000000ad05ccc4f10045630fb830b95127,22240.039172265057,4.43395537003965e-05
0,0xf2ce52e3d0eb5d237341c9a75ca24647d87d7e55,0x4740735aa98dc8aa232bd049f8f0210458e7fca3,0.0,4.3966876944890896e-05
0,0x98ac9a130a9d0d73a48a9013087c3b7f7f173f5f,0x65f25da72ce8b4370c63eac161ff1837b6d21407,118625.325,4.34525e-05
0,0x31fc2cb761083a77cf218461e2072bcea0ca35ef,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,4.3203637903426e-05
0,0x9cdb491354086ab189dbb17360c33970b7298d3f,0x84162fe2e695fedbf4d3bca1c3458fb616e44735,1.1992889999999998,4.30978269448909e-05
0,0x16303e2841b113522aca5151f9a290bdb5c4e78a,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,4.25763969448909e-05
0,0x46705dfff24256421a05d056c29e81bdc09723b8,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,4.25763969448909e-05
0,0x9696f59e4d72e237be84ffd425dcad154bf96976,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,4.22287769448909e-05
0,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0x38ddc160e156f99bc47fa136a3dd0f46225bfcd1,371.43197,4.22287769448909e-05
0,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x3f8b9578d4e6c67383ed168726711d86127da55b,915.23427177,4.22287769448909e-05
0,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x4a220e6096b25eadb88358cb44068a3248254675,0.0,4.22287769448909e-05
0,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,0xc641864a745b4181e97ba8fd0b0ff82538a153ef,55.27158,4.22287769448909e-05
0,0x9696f59e4d72e237be84ffd425dcad154bf96976,0x4fafd0aaa18ea07deafcc4ed1e1c842e30fcb753,1224.30668997,4.22287769448909e-05
0,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xec9ae0a76fdec1668afdfa7f8c3015577c04db1c,35.908415997999995,4.22287769448909e-05
0,0x4d393a3fe525956e6d73882ded31aae57e0ac865,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0x54912fc7af7e2d9813ed5f5d13945dd1ef5a9568,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0xc0374739b41f941c902f6568d8952940dc8f80bb,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0x3a51b5b41c0239b0e4f05cc2c19062ea83891ce0,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0xa9c0968c1ae7ceac3997993dea8c832a1fc7c3be,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0x3053eb374ae824ac3e8603dba73f802bbeece27b,620.3105089999999,4.22287769448909e-05
0,0x95a1dd69bec5272397e9ba33c93cc0c0ecd9e113,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0x757346eab276e04a7f60b90755157e4c8ab76c98,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0x812e67c4513a63360b4a973bbfc3c7e260f2ccc6,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0xa4a423262f4cbea32747c82c4bf78f9514e209dd,0x7a74bc843d606c5f815fa3a3f25cb87599f3744b,297.9673889219532,4.22287769448909e-05
0,0x1c341a714231e484d0718e9faed5e45ce43ff297,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0xdf21895af0a2a1d452dde2a4de1ba3ae73125700,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0xd43776034cb8b8e970c6e4926e5625f7fbfd0fa9,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,4.22287769448909e-05
0,0x28c6c06298d514db089934071355e5743bf21d60,0x72c97dcfc9637e328d8c4a221f6e2e7a2edf7196,246.46258,4.22287769448909e-05
0,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xda20c5bdca50d85ef70295bdada59b32f119233d,1224.13305378,4.22287769448909e-05
0,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,0x198fad708f06b35cada7aeff93ae912b12ec54dd,23.63816,4.22287769448909e-05
0,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x3597bfd533a99c9aa083587b074434e61eb0a258,0.0,4.22287769448909e-05
0,0x99c0d1b9a39646e70b96407ca9dc2447144a6f1b,0x19062190b1925b5b6689d7073fdfc8c2976ef8cb,0.0,4.22287769448909e-05
0,0xf82308c7d0dc2b703e2fd50b6980ec59531425d3,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0xaaf23f2f81211bb5689ed82c413fd88497582a8d,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,4.22287769448909e-05
0,0x990b4dbd1ed2ca9dee5dd8c9a1795c0654a51ecd,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0xc7c038dd615805feddcc7b5cabe70f3d9a683935,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
0,0x5da263bb01068ba9907487806fe4ce7dcdb73f0f,0xac0968a3e2020ac8ca83e60ccf69081ebc6d3bc3,0.0,4.22287769448909e-05
