,title,source,description,url,publishedAt,content
0,What Is Bluesky? The Twitter Alternative With Promising Networking Technology,Decrypt,"While Bluesky seems like Twitter on the surface, the AT protocol architecture it is run on  and the functionality it enables  have the potential to be revolutionary.",https://decrypt.co/resources/what-is-bluesky-the-twitter-alternative-with-promising-networking-technology,1682082967,"In brief
<ul><li>Bluesky emerged from Twitter in 2019 as a side project aimed at creating a decentralized social media framework.</li><li>Becoming independent from Twitter in 2022, the beta version  [+13433 chars]"
1,From FUD to FOMO: Digital Asset Exchange BTSE Releases Latest Crypto Trading Psychology Report,GlobeNewswire,"ROAD TOWN, British Virgin Islands, April 21, 2023 (GLOBE NEWSWIRE) -- BTSE, a leading digital asset exchange, today announced the release of its latest report on trading psychology, addressing Fear, Uncertainty, Doubt (FUD) and Fear of Missing Out (FOMO)",https://www.globenewswire.com/news-release/2023/04/21/2651995/0/en/From-FUD-to-FOMO-Digital-Asset-Exchange-BTSE-Releases-Latest-Crypto-Trading-Psychology-Report.html,1682082900,"<ul><li>BTSE's latest report analyzes investor psychology and the trends of FUD (Fear, Uncertainty, Doubt) and FOMO (Fear of Missing Out)</li></ul><ul><li>The report offers insights on methods for ma [+3733 chars]"
2,From FUD to FOMO: Digital Asset Exchange BTSE Releases Latest Crypto Trading Psychology Report,Yahoo Entertainment,"BTSE's latest report analyzes investor psychology and the trends of FUD (Fear, Uncertainty, Doubt) and FOMO (Fear of Missing Out) The report offers insights ...",https://finance.yahoo.com/news/fud-fomo-digital-asset-exchange-131500824.html,1682082900,"<ul><li>BTSE's latest report analyzes investor psychology and the trends of FUD (Fear, Uncertainty, Doubt) and FOMO (Fear of Missing Out)
</li></ul><ul><li>The report offers insights on methods for  [+3739 chars]"
3,SEC Warns Advisers to Apply 'Heightened Scrutiny' When Recommending Crypto Assets,Biztoc.com,"The U.S. Securities and Exchange Commission (SEC) has advised finance professionals to apply ""heightened scrutiny"" when recommending complex or risky products such as crypto assets. In a new bulletin, the SEC recommended that finance professionals thoroughly ",https://biztoc.com/x/67cd53f2d6f62774,1682082846,"The U.S. Securities and Exchange Commission (SEC) has advised finance professionals to apply ""heightened scrutiny"" when recommending complex or risky products such as crypto assets.In a new bulletin, [+294 chars]"
4,"Shiba Inu's BONE Gains Attention From OKX as Exchange Teases New Listing, Giveaway",U.Today,OKX teases new meme coin deposits and listing activity,https://u.today/shiba-inus-bone-gains-attention-from-okx-as-exchange-teases-new-listing-giveaway,1682082660,Disclaimer: The opinion expressed here is not investment advice it is provided for informational purposes only. It does not necessarily reflect the opinion of U.Today. Every investment and all tradin [+2204 chars]
5,How to Stream Sensor Data to Apache Pinot for Real Time Analysis,Dzone.com,"This is part 2 of a multi-part sample application that I've been building using Kafka and Apache Pinot. In the first part, we built an NFC Badge Reader to record when badges are swiped. In this part, we will begin ingesting some environmental data from a sens",https://dzone.com/articles/how-to-stream-sensor-data-to-apache-pinot-for-real,1682082345,"This is part 2 of a multi-part sample application that I've been building using Kafka and Apache Pinot. In the first part, we built an NFC Badge Reader to record when badges are swiped. In this part, [+9636 chars]"
6,Ripple execs praise EUs move to approve MiCA legislation,Biztoc.com,"Ripple executives praised EUs move to approve MiCA legislation as the firm is struggling to get regulatory clarity in the U.S.  None Susan Friedman, International Policy Counsel at Ripple, said that the company is looking forward to building and growing in ",https://biztoc.com/x/fcffeb8c03c8f963,1682082246,"Ripple executives praised EUs move to approve MiCA legislation as the firm is struggling to get regulatory clarity in the U.S.None Susan Friedman, International Policy Counsel at Ripple, said that th [+313 chars]"
7,YouTube Stars Rhett & Link Launch Web3 Channel With Token Rewards,Decrypt,"With Mythical 24/7 on Rewarded.tv, Rhett & Link aim to bring their tens of millions of combined YouTube viewers into Web3.",https://decrypt.co/137442/youtube-stars-rhett-link-launch-web3-channel-with-token-rewards,1682082062,"Rhett &amp; Link, a popular internet comedy duo with tens of millions of followers across YouTube channels, have launched a dedicated channel on Web3 streaming video service Rewarded.tv, the service  [+2631 chars]"
8,Ripple execs praise EUs move to approve MiCA legislation,Ambcrypto.com,"Ripple executives have praised EU's move to approve MiCA legislation. The firm is struggling to get clarity in the U.S., with an ongoing battle with the SEC.",https://ambcrypto.com/ripple-execs-praise-eus-move-to-approve-mica-legislation/,1682082011,"<ul><li>Ripple executives praised EUs move to approve MiCA legislation as the firm is struggling to get regulatory clarity in the U.S.</li><li>Susan Friedman, International Policy Counsel at Ripple, [+2427 chars]"
9,$190B Ontario pension says no to crypto after FTX investment loss,Investing.com,$190B Ontario pension says no to crypto after FTX investment loss,https://www.investing.com/news/cryptocurrency-news/190b-ontario-pension-says-no-to-crypto-after-ftx-investment-loss-3061629,1682082009,"We encourage you to use comments to engage with other users, share your perspective and ask questions of authors and each other. However, in order to maintain the high level of discourse weve all co [+2321 chars]"
