,title,source,description,url,publishedAt,content
0,From FUD to FOMO: Digital Asset Exchange BTSE Releases Latest Crypto Trading Psychology Report,GlobeNewswire,"ROAD TOWN, British Virgin Islands, April 21, 2023 (GLOBE NEWSWIRE) -- BTSE, a leading digital asset exchange, today announced the release of its latest report on trading psychology, addressing Fear, Uncertainty, Doubt (FUD) and Fear of Missing Out (FOMO)",https://www.globenewswire.com/news-release/2023/04/21/2651995/0/en/From-FUD-to-FOMO-Digital-Asset-Exchange-BTSE-Releases-Latest-Crypto-Trading-Psychology-Report.html,1682082900,"<ul><li>BTSE's latest report analyzes investor psychology and the trends of FUD (Fear, Uncertainty, Doubt) and FOMO (Fear of Missing Out)</li></ul><ul><li>The report offers insights on methods for ma [+3733 chars]"
1,From FUD to FOMO: Digital Asset Exchange BTSE Releases Latest Crypto Trading Psychology Report,Yahoo Entertainment,"BTSE's latest report analyzes investor psychology and the trends of FUD (Fear, Uncertainty, Doubt) and FOMO (Fear of Missing Out) The report offers insights ...",https://finance.yahoo.com/news/fud-fomo-digital-asset-exchange-131500824.html,1682082900,"<ul><li>BTSE's latest report analyzes investor psychology and the trends of FUD (Fear, Uncertainty, Doubt) and FOMO (Fear of Missing Out)
</li></ul><ul><li>The report offers insights on methods for  [+3739 chars]"
2,"Cryptocurrencies: Navigating in the world of Blockchain Technology - Business, Finance, Investment & Marketing; Blogs, News & Articles",Bhaveshverma.com,"Cryptocurrencies: Navigating in the world of Blockchain Technology - Business, Finance, Investment & Marketing; Blogs, News & Articlesbhaveshverma.com",https://blog.bhaveshverma.com/cryptocurrencies-navigating-in-the-world-of-blockchain-technology/,1682082558,"Cryptocurrencies and blockchain technology are rapidly transforming the financial landscape, providing new opportunities for individuals and businesses alike. However, with so much hype and buzz surr [+7979 chars]"
3,YouTube Stars Rhett & Link Launch Web3 Channel With Token Rewards,Decrypt,"With Mythical 24/7 on Rewarded.tv, Rhett & Link aim to bring their tens of millions of combined YouTube viewers into Web3.",https://decrypt.co/137442/youtube-stars-rhett-link-launch-web3-channel-with-token-rewards,1682082062,"Rhett &amp; Link, a popular internet comedy duo with tens of millions of followers across YouTube channels, have launched a dedicated channel on Web3 streaming video service Rewarded.tv, the service  [+2631 chars]"
4,Abu Dhabi calls for feedback on proposed legal framework for decentralized economy: CoinDesk,Biztoc.com,"The United Arab Emirates registration authority of Abu Dhabi Global Market is seeking feedback on its proposed legislative framework for distributed ledger technology (DLT), which will focus on disclosures, liquidation, and governance structures, according t",https://biztoc.com/x/d047039bff830e7e,1682082007,"The United Arab Emirates registration authority of Abu Dhabi Global Market is seeking feedback on its proposed legislative framework for distributed ledger technology (DLT), which will focus on discl [+298 chars]"
5,Abu Dhabi calls for feedback on proposed legal framework for decentralized economy: CoinDesk,Forkast.news,"The UAE's registration authority of Abu Dhabi Global Market is seeking feedback on its proposed legislative framework for distributed ledger technology, which will focus on disclosures, liquidation, and governance structures, according to a report by CoinDesk",https://forkast.news/headlines/abu-dhabi-seeks-feedback-on-proposed-framework/,1682082000,"The United Arab Emirates registration authority of Abu Dhabi Global Market is seeking feedback on its proposed legislative framework for distributed ledger technology (DLT), which will focus on discl [+1174 chars]"
6,Virtu Financial Announces Michael T. Viola to Succeed Robert Greifeld as Chairman,GlobeNewswire,"NEW YORK, April 21, 2023 (GLOBE NEWSWIRE) -- Virtu Financial, Inc. (NASDAQ: VIRT), a leading provider of financial services and products that leverages cutting-edge technology to deliver innovative, transparent trading solutions to clients and liquidity to th",https://www.globenewswire.com/news-release/2023/04/21/2651979/30815/en/Virtu-Financial-Announces-Michael-T-Viola-to-Succeed-Robert-Greifeld-as-Chairman.html,1682082000,"NEW YORK, April 21, 2023 (GLOBE NEWSWIRE) -- Virtu Financial, Inc. (NASDAQ: VIRT), a leading provider of financial services and products that leverages cutting-edge technology to deliver innovative,  [+3465 chars]"
7,Stakeholders Examine Benefits of Digital Public Infrastructure at IMF Meeting,Activistpost.com,By Ayang Macdonald Speakers at a seminar during the recent spring meetings of the Bretton Woods institutions (IMF and World Bank) shared thoughts on how...Stakeholders Examine Benefits of Digital Public Infrastructure at IMF Meeting,https://www.activistpost.com/2023/04/stakeholders-examine-benefits-of-digital-public-infrastructure-at-imf-meeting.html,1682081931,"By Ayang Macdonald
Speakers at a seminar during the recent spring meetings of the Bretton Woods institutions (IMF and World Bank) shared thoughts on how nations can advance their economic and digita [+4772 chars]"
8,"The central banks dilemma: inflation, stagflation, and the cryptocurrency response in todays economy",Biztoc.com,"Quick Take Due to the economy being built on credit, both growth, and expansion are necessities. As such, central banks biggest fear is deflation and stagflation. Take the U.K. as an example  though this can be attributed to many Western countries. Three me",https://biztoc.com/x/3747e26cfd11101d,1682081528,"Quick TakeDue to the economy being built on credit, both growth, and expansion are necessities. As such, central banks biggest fear is deflation and stagflation. Take the U.K. as an example though th [+258 chars]"
9,Ukraine plans to adopt EUs new cryptocurrency regulations,Biztoc.com,"Hot on the heels of the European Parliament passing the Markets in Crypto-Assets (MiCA) regulation, Ukrainian regulators have stated publicly that they will adopt the legislative package in their own country as well. The Deputy Chairman of the Tax Committee o",https://biztoc.com/x/7102caf68de31941,1682081526,"Hot on the heels of the European Parliament passing the Markets in Crypto-Assets (MiCA) regulation, Ukrainian regulators have stated publicly that they will adopt the legislative package in their own [+315 chars]"
10,"The central banks dilemma: inflation, stagflation, and the cryptocurrency response in todays economy",CryptoSlate,Explore the alarming possibility of stagflation in the current economy through an Alpha exclusive article. Delve into the three key metrics contributing to stagflation and how central banks find themselves in a precarious position. But as we uncover the chill,https://cryptoslate.com/insights/the-central-banks-dilemma-inflation-stagflation-and-the-cryptocurrency-response-in-todays-economy/,1682081436,"What is CryptoSlate Alpha?
A web3 membership designed to empower you with cutting-edge insights and knowledge. Learn more 
Connected to Alpha
Welcome! You are connected to CryptoSlate Alpha. To m [+972 chars]"
11,Why Elon Musks cull of Twitter verified blue ticks could prove costly,The Guardian,End of lords & peasants system may help business in short term but risks sustainability if it leads to loss of trustTwitters aristocracy is no more. Last year Elon Musk described the verification process as a lords & peasants system and on Thursday he de,https://www.theguardian.com/technology/2023/apr/21/elon-musk-twitter-cull-verified-blue-ticks-cost,1682081394,Twitters aristocracy is no more. Last year Elon Musk described the verification process as a lords &amp; peasants system and on Thursday he deployed the guillotine. Feudalism has now given way to cap [+4846 chars]
12,The IRS is sending four investigators across the world to fight cybercrime,Biztoc.com,"The Internal Revenue Service (IRS) plans to send four agents who specialize in investigating cybercrime to Australia, Singapore, Colombia, and Germany starting this summer. These four new positions represent a significant increase in the IRSs global efforts ",https://biztoc.com/x/bedf5d728ba3648b,1682080925,"The Internal Revenue Service (IRS) plans to send four agents who specialize in investigating cybercrime to Australia, Singapore, Colombia, and Germany starting this summer. These four new positions r [+301 chars]"
13,"Crypto price prediction: The Graph, BitTorrent, Toncoin",Coinjournal.net,Bitcoin price has pulled back in the past few days as the recent bullish momentum faded. The shake-up has seen the coin retreat in the past three straight days to reach a low of April 9. This decline led to a sharp decline in other coins. In this crypto price,https://coinjournal.net/news/crypto-price-prediction-the-graph-bittorrent-toncoin/,1682080553,"Bitcoin
 price has pulled back in the past few days as the recent bullish momentum faded. The shake-up has seen the coin retreat in the past three straight days to reach a low of April 9. This decli [+3860 chars]"
14,Ripple CTO Reacts to XRP's 10% Dip With Market Insight,U.Today,David Schwartz defends de-risking strategy as XRP takes hit,https://u.today/ripple-cto-reacts-to-xrps-10-dip-with-market-insight,1682080500,Disclaimer: The opinion expressed here is not investment advice it is provided for informational purposes only. It does not necessarily reflect the opinion of U.Today. Every investment and all tradin [+1581 chars]
15,SAI.TECH Announces Appointments of CTO and COO for New Product Line ULTIAAS,Marketscreener.com,"(marketscreener.com) SINGAPORE, April 21, 2023 -- Today, SAI.TECH Global Corporation , a Sustainable Bitverse Operator announced its recent appointments of Harry Sun to be Chief Technology Officer and Tao Wu to be Chief Operating Officer of SAI.TECH's new Pro",https://www.marketscreener.com/quote/stock/SAI-TECH-GLOBAL-CORPORATI-137177506/news/SAI-TECH-Announces-Appointments-of-CTO-and-COO-for-New-Product-Line-ULTIAAS-43602956/?utm_medium=RSS&utm_content=20230421,1682080321,"SINGAPORE, April 21, 2023 (GLOBE NEWSWIRE) -- Today, SAI.TECH Global Corporation (""SAI.TECH"" OR ""SAI,"" NASDAQ: SAI), a Sustainable Bitverse Operator announced its recent appointments of Harry Sun to  [+5081 chars]"
16,"From vision to reality: By going beyond agility and core to ""0"", CLPS facilitates financial institutions' digital transformation and application modernization",Marketscreener.com,"(marketscreener.com) HONG KONG, April 21, 2023 /PRNewswire/ --CLPS Incorporation , today announced that it recently attended the Fintech Forum co-sponsored by the Digital Economy Development and Research Committee of Shanghai Higher Education Association a",https://www.marketscreener.com/quote/stock/CLPS-INCORPORATION-43499889/news/From-vision-to-reality-By-going-beyond-agility-and-core-to-0-CLPS-facilitates-financial-institut-43602937/?utm_medium=RSS&utm_content=20230421,1682080266,"HONG KONG, April 21, 2023 /PRNewswire/ --CLPS Incorporation (the ""Company"" or ""CLPS"") (Nasdaq: CLPS), today announced that it recently attended the Fintech Forum co-sponsored by the Digital Economy  [+9182 chars]"
17,The IRS is sending four investigators across the world to fight cybercrime,TechCrunch,"The IRS plans to send four investigators specialized in cybercrime to Australia, Singapore, Colombia, and Germany for a 120-day pilot program.",https://techcrunch.com/2023/04/21/the-irs-is-sending-four-investigators-across-the-world-to-fight-cybercrime/,1682080264,"The Internal Revenue Service (IRS) plans to send four agents who specialize in investigating cybercrime to Australia, Singapore, Colombia, and Germany starting this summer. These four new positions r [+4123 chars]"
18,"Unicoin Launches UNICOIN WOMEN, an Investment Platform and a Community That Helps Women Take Control of Their Financial Future",PRNewswire,"SAN FRANCISCO, April 21, 2023 /PRNewswire/ -- Unicoin, the assets-backed cryptocurrency designed for profitability, announced the launch of Unicoin Women, an innovative platform and a community with exclusive investment opportunities and educational initiativ",https://www.prnewswire.com/news-releases/unicoin-launches-unicoin-women-an-investment-platform-and-a-community-that-helps-women-take-control-of-their-financial-future-301803779.html,1682080260,"SAN FRANCISCO, April 21, 2023 /PRNewswire/ -- Unicoin, the assets-backed cryptocurrency designed for profitability, announced the launch of Unicoin Women
, an innovative platform and a community wit [+3221 chars]"
19,Integrated Ventures Releases Unaudited Revenue Results And Announces Reverse Stock Split,PRNewswire,"PHILADELPHIA, April 21, 2023 /PRNewswire/ -- Today, Integrated Ventures, Inc. (""INTV"") (""Company"") is providing this Corporate Update, regarding Reverse Stock Split and Preliminary Revenue results for Q3/2023: > Reverse Stock Split: The Company received appro",https://www.prnewswire.com/news-releases/integrated-ventures-releases-unaudited-revenue-results-and-announces-reverse-stock-split-301804019.html,1682080200,"PHILADELPHIA, April 21, 2023 /PRNewswire/ -- Today, Integrated Ventures, Inc. (""INTV"") (""Company"") is providing this Corporate Update, regarding Reverse Stock Split and Preliminary Revenue results fo [+4068 chars]"
20,"From vision to reality: By going beyond agility and core to ""0"", CLPS facilitates financial institutions' digital transformation and application modernization",PRNewswire,"HONG KONG, April 21, 2023 /PRNewswire/ -- CLPS Incorporation (the ""Company"" or ""CLPS"") (Nasdaq: CLPS), today announced that it recently attended the Fintech Forum co-sponsored by the Digital Economy Development and Research Committee of Shanghai Higher Educat",https://www.prnewswire.com/news-releases/from-vision-to-reality-by-going-beyond-agility-and-core-to-0-clps-facilitates-financial-institutions-digital-transformation-and-application-modernization-301803946.html,1682080200,"HONG KONG, April 21, 2023 /PRNewswire/ --CLPS Incorporation (the ""Company"" or ""CLPS"") (Nasdaq: CLPS), today announced that it recently attended the Fintech Forum co-sponsored by the Digital Economy  [+8944 chars]"
21,Integrated Ventures Releases Unaudited Revenue Results And Announces Reverse Stock Split,Yahoo Entertainment,"Today, Integrated Ventures, Inc. (""INTV"") (""Company"") is providing this Corporate Update, regarding Reverse Stock Split and Preliminary Revenue results for...",https://finance.yahoo.com/news/integrated-ventures-releases-unaudited-revenue-123000328.html,1682080200,"PHILADELPHIA, April 21, 2023 /PRNewswire/ -- Today, Integrated Ventures, Inc. (""INTV"") (""Company"") is providing this Corporate Update, regarding Reverse Stock Split and Preliminary Revenue results fo [+4243 chars]"
22,"From vision to reality: By going beyond agility and core to ""0"", CLPS facilitates financial institutions' digital transformation and application modernization",Yahoo Entertainment,"CLPS Incorporation (the ""Company"" or ""CLPS"") (Nasdaq: CLPS), today announced that it recently attended the Fintech Forum co-sponsored by the Digital Economy ...",https://finance.yahoo.com/news/vision-reality-going-beyond-agility-123000388.html,1682080200,"HONG KONG, April 21, 2023 /PRNewswire/ --CLPS Incorporation (the ""Company"" or ""CLPS"") (Nasdaq: CLPS), today announced that it recently attended the Fintech Forum co-sponsored by the Digital Economy  [+9183 chars]"
23,SAI.TECH Announces Appointments of CTO and COO for New Product Line ULTIAAS,Yahoo Entertainment,"SINGAPORE, April 21, 2023 (GLOBE NEWSWIRE) -- Today, SAI.TECH Global Corporation (""SAI.TECH"" OR ""SAI,"" NASDAQ: SAI), a Sustainable Bitverse Operator...",https://finance.yahoo.com/news/sai-tech-announces-appointments-cto-123000060.html,1682080200,"SAI.TECH Global Corporation
SINGAPORE, April 21, 2023 (GLOBE NEWSWIRE) -- Today, SAI.TECH Global Corporation (""SAI.TECH"" OR ""SAI,"" NASDAQ: SAI), a Sustainable Bitverse Operator announced its recent  [+5107 chars]"
24,"Crypto Trading Legends Next Move Is Bringing U.S. Treasurys to Crypto, With Plans for Corporate Bonds, Too",CoinDesk,"PV01, which launched last month, is using blockchain technology to target long-standing issues in debt capital markets.",https://www.coindesk.com/business/2023/04/21/crypto-trading-legends-next-move-is-bringing-us-treasurys-to-crypto-with-plans-for-corporate-bonds-too/,1682080003,"The March banking crisis made it harder for crypto companies to access conventional banks, erecting an obstacle to a mundane yet vital task for any business: finding a place to park excess cash.
Thi [+3653 chars]"
25,First Mover Americas: Bitcoin Falls to $28K,CoinDesk,"The latest price moves in bitcoin (BTC) and crypto markets in context for April 21, 2023. First Mover is CoinDesks daily newsletter that contextualizes the latest actions in the crypto markets.",https://www.coindesk.com/markets/2023/04/21/first-mover-americas-bitcoin-falls-to-28k/,1682079872,"This article originally appeared in First Mover, CoinDesks daily newsletter putting the latest moves in crypto markets in context. Subscribe to get it in your inbox every day.
Bitcoin was down for a [+2122 chars]"
26,Ukraine plans to adopt EUs new cryptocurrency regulations,Cointelegraph,"Immediately after passing the European Parliament, Ukrainian authorities announced plans to adopt the EU's MiCA regulations on crypto assets.",https://cointelegraph.com/news/ukraine-plans-to-adopt-eu-s-new-cryptocurrency-regulations,1682079789,"Hot on the heels of the European Parliament passing the Markets in Crypto-Assets (MiCA) regulation, Ukrainian regulators have stated publicly that they will adopt the legislative package in their own [+1790 chars]"
27,Is Bitcoin Bull Market Here? This Metric Says No,Biztoc.com,A pattern in the Bitcoin exchange reserve ratio that has historically preceded the start of bull runs hasnt formed for the cryptocurrency yet. Bitcoin Exchange Reserve Ratio Has Continued To Decline Recently As pointed out by an analyst in a CryptoQuant post,https://biztoc.com/x/4275846d88a6d6b8,1682079607,A pattern in the Bitcoin exchange reserve ratio that has historically preceded the start of bull runs hasnt formed for the cryptocurrency yet.Bitcoin Exchange Reserve Ratio Has Continued To Decline R [+251 chars]
28,Is Bitcoin Bull Market Here? This Metric Says No,Bitcoinist,A pattern in the Bitcoin exchange reserve ratio that has historically preceded the start of bull runs hasnt formed for the cryptocurrency yet. Bitcoin Exchange Reserve Ratio Has Continued To Decline Recently As pointed out by an analyst in a CryptoQuant post,https://bitcoinist.com/is-bitcoin-bull-market-here-this-metric-says-no/,1682078777,"A pattern in the Bitcoin exchange reserve ratio that has historically preceded the start of bull runs hasnt formed for the cryptocurrency yet.
Bitcoin Exchange Reserve Ratio Has Continued To Declin [+2909 chars]"
29,Ontario Teachers' Pension Plan Will Stay Away From Crypto Investments After $95M FTX Write-Off: FT,Biztoc.com,"Don't miss ""FTX: What Happened"" with the former president of FTX's U.S. arm and Anthony Scaramucci. The Ontario Teachers' Pension Plan (OTPP), which wrote off a $95 million investment in the now bankrupt cryptocurrency exchange FTX, says it will not rush into",https://biztoc.com/x/d8fde846eb1b99ca,1682078765,"Don't miss ""FTX: What Happened"" with the former president of FTX's U.S. arm and Anthony Scaramucci.The Ontario Teachers' Pension Plan (OTPP), which wrote off a $95 million investment in the now bankr [+303 chars]"
30,Solana Now Measures Network Carbon Emissions Data in Real Time,Decrypt,"The Solana Foundation claims that it is the first ""major smart contract blockchain network"" to broadcast its environmental impact as such.",https://decrypt.co/137441/solana-now-measures-network-carbon-emissions-data-in-real-time,1682078462,"Solana is now measuring data pertaining to its carbon emissions in real time, the Solana Foundation announced today. Its a claimed first-of-its-kind move for ""a major smart contract blockchain networ [+5755 chars]"
31,"Elon Musks Twitter: Everything you need to know, from layoffs to verification",TechCrunch,"Welcome to Elon Musks Twitter, where the rules are made up and the check marks dont matter. The Tesla and SpaceX CEO first announced his bid to buy Twitter in April 2022, zealously driven to rid the platform of spam bots and protect free speech. This is ju",https://techcrunch.com/2023/04/21/elon-musks-twitter-everything-you-need-to-know-from-layoffs-to-verification/,1682078447,"Welcome to Elon Musks Twitter, where the rules are made up and the check marks dont matter.
The Tesla and SpaceX CEO first announced his bid to buy Twitter in April 2022, zealously driven to rid the [+32186 chars]"
32,Over 156 million members could be part of India's crypto community by 2023,Biztoc.com,A recent Statista report has revealed that Indias crypto community is expected to soar to over 156 million members by the end of the year. This estimation indicates that over 11% of Indias population will have jumped into the cryptocurrency sector by the en,https://biztoc.com/x/a36a33e21be337ee,1682078287,A recent Statista report has revealed that Indias crypto community is expected to soar to over 156 million members by the end of the year. This estimation indicates that over 11% of Indias population [+319 chars]
33,US crypto companies look to Hong Kong for regulatory clarity,Crypto Daily,"Several crypto companies in the US are facing major regulatory challenges and have announced their plans to relocate offshore.US exit by crypto companiesThe US Securities and Exchange Commission (SEC) has taken a more stringent regulatory approach, and the",https://cryptodaily.co.uk/2023/04/us-crypto-companies-look-to-hong-kong-for-regulatory-clarity,1682078213,"Several crypto companies in the US are facing major regulatory challenges and have announced their plans to relocate offshore.
US exit by crypto companies
The US Securities and Exchange Commission [+2296 chars]"
34,"wMarket Update: Another red day sees Bitcoin lose $28,000",Biztoc.com,"Over the last 24 hours, the cryptocurrency market cap saw net outflows of $29.6 billion and currently stands at $1.18 trillion  down 2.4% from $1.22 trillion. During the reporting period, Bitcoin and Ethereums market caps fell 3% and 2.1% to $541.93 billio",https://biztoc.com/x/bb8023ea5676379e,1682078168,"Over the last 24 hours, the cryptocurrency market cap saw net outflows of $29.6 billion and currently stands at $1.18 trillion down 2.4% from $1.22 trillion.During the reporting period, Bitcoin and E [+303 chars]"
35,Ontario Teachers' Pension Plan Will Stay Away From Crypto Investments After $95M FTX Write-Off: FT,CoinDesk,"The $190 billion Canadian pension fund is ""still working through what exactly happened there,"" according to its CEO.",https://www.coindesk.com/business/2023/04/21/ontario-teachers-pension-plan-will-stay-away-from-crypto-investments-after-95m-ftx-write-off-ft/,1682077885,"Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhas been updated.
The leader in news and information on cryptocurrency, digital assets and the future o [+538 chars]"
36,Coinbase Stock: Bull vs. Bear,Motley Fool,"After plunging last year, is the crypto exchange a buy right now?",https://www.fool.com/investing/2023/04/21/coinbase-stock-bull-vs-bear/,1682077800,"Coinbase Global (COIN -6.11%) was one of many cryptocurrency stocks to win the hearts and minds of investors during the crypto boom in 2021.
But that boom went bust, and shares of Coinbase, a leadin [+4314 chars]"
37,"CryptoSlate wMarket Update: Another red day sees Bitcoin lose $28,000",CryptoSlate,"Over the last 24 hours, the cryptocurrency market cap saw net outflows of $29.6 billion and currently stands at $1.18 trillion  down 2.4% from $1.22 trillion. During the reporting period, Bitcoin and Ethereums market caps fell 3% and 2.1% to $541.93 billio",https://cryptoslate.com/cryptoslate-wmarket-update-another-red-day-sees-bitcoin-lose-28000/,1682077551,"Over the last 24 hours, the cryptocurrency market cap saw net outflows of $29.6 billion and currently stands at $1.18 trillion down 2.4% from $1.22 trillion.
During the reporting period, Bitcoin and [+3374 chars]"
