,title,source,description,url,publishedAt,content
0,$500k or 17.5 Bitcoin? Texas startup lets people buy real estate with cryptocurrency,Biztoc.com,"Buyers wanting to move their cryptocurrency holdings into real estate have a new option beginning Thursday. MyEListing, a new startup based in Cedar Park near Austin, launched a Zillow-like website where people can list commercial and residential properties f",https://biztoc.com/x/49d21b698abe5366,1682048645,"Buyers wanting to move their cryptocurrency holdings into real estate have a new option beginning Thursday.MyEListing, a new startup based in Cedar Park near Austin, launched a Zillow-like website wh [+324 chars]"
1,The  petertodd phenomenon,Lesswrong.com,"Published on April 15, 2023 12:59 AM GMTNote:Nothing in this post is intended to vilify or defame any actual human named Peter Todd. I recognise that the existence of this phenomenon may be an uncomfortable fact for anyone with that name and do not wish to c",https://www.lesswrong.com/posts/jkY6QdCfAXHJk3kea/the-petertodd-phenomenon,1681520387,Note:Nothing in this post is intended to vilify or defame any actual human named Peter Todd. I recognise that the existence of this phenomenon may be an uncomfortable fact for anyone with that name  [+65465 chars]
2,Four top tips for blockchain asset security | Kaspersky official blog,Kaspersky.com,The main dangers when investing in cryptocurrencies and how to effectively protect yourself against them.,https://usa.kaspersky.com/blog/4-key-steps-to-protect-cryptocurrency-properly/28104/,1681288942,"Cryptocurrencies and other blockchain assets arent protected by bank guarantees or other traditional financial security measures. Therefore, investors need to take every possible precaution to pro [+9451 chars]"
3,Four top tips for blockchain asset security | Kaspersky official blog,Kaspersky.com,The main dangers when investing in cryptocurrencies and how to effectively protect yourself against them.,https://www.kaspersky.com/blog/4-key-steps-to-protect-cryptocurrency-properly/47811/,1681288483,"Cryptocurrencies and other blockchain assets arent protected by bank guarantees or other traditional financial security measures. Therefore, investors need to take every possible precaution to pro [+9451 chars]"
4,Rambling About Project Awakening,Wordpress.com,"Warning: The following post was written as a flow of thoughts and, thus, rambles and stumbles along from point to point looking for a conclusion it never quite reaches. Seriously, the payoff at the end is pretty minor, though there is one. I did manage that",https://tagn.wordpress.com/2023/04/11/rambling-about-project-awakening/,1681233327,"Warning: The following post was written as a flow of thoughts and, thus, rambles and stumbles along from point to point looking for a conclusion it never quite reaches. Seriously, the payoff at the  [+16840 chars]"
5,First Mover Asia: Bitcoin Extends Its Stay Below $28K,Biztoc.com,"The largest cryptocurrency by market capitalization was recently trading at about $27,680, down slightly more than a percentage point over the past 24 hours as investors did what they have done regularly for much of the past few months: make sense of disparat",https://biztoc.com/x/5e8a4649bd2d1127,1680573848,"The largest cryptocurrency by market capitalization was recently trading at about $27,680, down slightly more than a percentage point over the past 24 hours as investors did what they have done regul [+295 chars]"
6,"First Mover Asia: Bitcoin Extends Its Stay Below $28K, Dogecoin Stays Hot",CoinDesk,Dogecoin surged after Twitter replaced its familiar blue bird atop its homepage with the cryptocurrency's iconic Shiba Inu dog logo. ALSO: Is Indonesias CBDC a potential alternative to Visa and Mastercard?,https://www.coindesk.com/markets/2023/04/04/first-mover-asia-bitcoin-extends-its-stay-below-28k/,1680573369,"Good morning. Heres whats happening:
Prices: Bitcoin seesaws and then stays below $28K; DOGE soars to its highest levels since December, while other cryptos are mixed.
Insights: Will Indonesia's CB [+9900 chars]"
7,5 Signs To Look For Before You Invest In Crypto Tokens,Forbes,The crypto markets have been in an ongoing state of upheaval.,https://www.forbes.com/sites/digital-assets/2023/03/31/5-signs-to-look-for-before-you-invest-in-crypto-tokens/,1680289921,"An illustration picture taken in London on May 8, 2022, shows gold plated souvenir cryptocurrency ... [+] Tether (USDT), Bitcoin and Etherium coins arranged beside a screen displaying a trading chart [+6450 chars]"
8,Banque Bemo L : Daily Markets Brief,Marketscreener.com,(marketscreener.com)    Daily Market Brief   March 24th 2023      FOREIGN EXCHANGE MARKETS              ...https://www.marketscreener.com/quote/stock/BANQUE-BEMO-S-A-L-20703347/news/Banque-Bemo-L-Daily-Markets-Brief-43327303/?utm_med,https://www.marketscreener.com/quote/stock/BANQUE-BEMO-S-A-L-20703347/news/Banque-Bemo-L-Daily-Markets-Brief-43327303/?utm_medium=RSS&utm_content=20230324,1679646591,"EURUSD
The EUR/USD depicts sluggish markets on early Friday as it stays defensive near 1.0830-20 after reversing from a seven-week high the previous day, printing mild losses of late. It's worth not [+9634 chars]"
9,Aliens: Dark Descent Real-Time Tactical Game Launches June 20,Wccftech,"Today, publisher Focus Entertainment and developer Tindalos Interactive have announced the release date of Aliens: Dark Descent, a single-player real-time tactical action game set in the beloved sci-fi horror universe. Originally announced at E3 2022, Aliens:",https://wccftech.com/aliens-dark-descent-real-time-tactical-game-launches-june-20/,1679406542,"Today, publisher Focus Entertainment and developer Tindalos Interactive have announced the release date of Aliens: Dark Descent, a single-player real-time tactical action game set in the beloved sci- [+2121 chars]"
